Longitud,Tiempo
5000,0.028156
5000,0.027742
5000,0.029443
5000,0.026002
5000,0.030949
5000,0.019737
5000,0.019727
5000,0.019728
5000,0.019733
5000,0.031128

25000,0.501925
25000,0.501865
25000,0.502072
25000,0.502409
25000,0.501640
25000,0.502580
25000,0.499352
25000,0.502452
25000,0.499411
25000,0.499610

50000,2.010044
50000,2.005767
50000,2.026818
50000,2.023263
50000,2.016396
50000,2.021285
50000,2.012535
50000,2.011521
50000,2.017873
50000,2.023955

100000,8.168106
100000,8.190125
100000,8.121166
100000,8.163310
100000,8.183589
100000,8.305636
100000,8.333116
100000,8.367022
100000,8.399906
100000,8.407561

150000,19.410567
150000,19.552250
150000,19.580674
150000,19.450862
150000,20.100423
150000,19.941166
150000,19.882384
150000,20.152251
150000,20.400907
150000,20.935346

200000,47.800320
200000,46.305030
200000,46.105451
200000,46.213380
200000,46.317016
200000,45.365751
200000,46.750554
200000,46.997878
200000,45.846218
200000,46.315189

250000,92.100011
250000,93.761235
250000,94.895124
250000,95.029572
250000,91.690155
250000,93.125250
250000,91.306270
250000,92.401911
250000,108.795206
250000,92.508382

