Longitud,Tiempo
5000,0.011501
5000,0.009263
5000,0.009596
5000,0.009447
5000,0.009297
5000,0.009396
5000,0.009754
5000,0.016341
5000,0.014306
5000,0.018102

25000,0.232994
25000,0.237658
25000,0.237639
25000,0.239543
25000,0.231298
25000,0.238985
25000,0.238586
25000,0.230001
25000,0.232224
25000,0.240940

50000,0.933918
50000,0.935527
50000,0.935267
50000,0.935583
50000,0.938793
50000,0.929112
50000,0.938550
50000,0.931921
50000,0.926215
50000,0.934804

100000,4.054765
100000,3.943166
100000,4.115243
100000,4.067107
100000,3.972531
100000,3.900876
100000,3.889781
100000,4.043558
100000,3.996024
100000,3.752091

150000,11.943942
150000,11.295169
150000,11.773901
150000,11.910866
150000,11.988693
150000,11.954200
150000,12.093652
150000,12.454840
150000,12.343783
150000,12.268182

200000,39.213665
200000,39.534902
200000,38.845942
200000,37.520301
200000,38.499488
200000,37.710964
200000,40.082537
200000,39.983599
200000,39.881801
200000,39.626169

250000,86.230127
250000,84.291593
250000,82.770932
250000,85.608233
250000,85.662710
250000,86.409518
250000,86.170397
250000,85.646362
250000,85.613437
250000,85.803529

